mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	1/2	3/4	2	2	1/4		1/4	1		3	57		3
1	1	0	1/2	3/4	2	1	1/4		1/4	1		7	61		2
1	1	0	1/2	3/4	1	2	1/4		1/4	1		4	64		1
1	1	0	1/2	3/4	1	1	1/4		1/4	1		3	69		0
2	2	0	0	3/4	2	2	1/2		1/2	1		6	54		10
2	2	0	0	3/4	2	1	1/2		1/2	1		7	61		8
2	2	0	0	3/4	1	2	1/2		1/2	1		6	66		6
2	2	0	0	3/4	1	1	1/2		1/2	1		3	69		4
2	2	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49		11
2	2	1/2	1/2	3/4	2	1	1/4		1/4	1		7	61		9
2	2	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		7
2	2	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68		5
3	3	0	0	3/4	2	2	1/2		1/2	1		2	50		19
3	3	0	0	3/4	2	1	1/2		1/2	1		3	57		17
3	3	0	0	3/4	1	2	1/4		1/4	1		2	62		14
3	3	0	0	3/4	1	1	1/2		1/2	1		6	66		12
3	3	1/4	1/4	3/4	1	2	1/4		1/4	1		7	61		15
3	3	1/2	1/2	3/4	2	2	1/4		1/4	1		2	50		20
3	3	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56		18
3	3	1/2	1/2	3/4	1	2	1/4		1/4	1		5	59		16
3	3	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64		13
4	4	0	0	3/4	2	2	1/4		1/4	1		7	49		28
4	4	0	0	3/4	2	1	1/2		1/2	1		3	57		26
4	4	0	0	3/4	1	2	1/4		1/4	1		4	64		23
4	4	0	0	3/4	1	1	1/4		1/4	1		3	69		21
4	4	1/4	1/4	3/4	2	2	1/4		1/4	1		2	50		29
4	4	1/4	1/4	3/4	1	2	1/4		1/4	1		6	66		24
4	4	1/4	1/4	3/4	1	1	1/2		1/2	1		5	71		22
4	4	1/2	1/2	3/4	2	2	1/4		1/4	1		4	52		30
4	4	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56		27
4	4	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		25
5	5	0	0	3/4	2	2	1/2		1/2	1		3	45		38
5	5	0	0	3/4	2	1	1/2		1/2	1		3	57		36
5	5	0	0	3/4	1	2	1/2		1/2	1		4	64		33
5	5	0	0	3/4	1	1	1/2		1/2	1		7	73		31
5	5	1/2	1/2	3/4	2	2	1/4		1/4	1		3	57		39
5	5	1/2	1/2	3/4	2	1	1/4		1/4	1		7	61		37
5	5	1/2	1/2	3/4	1	2	1/8		1/8	1		4	64		34
5	5	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		32
5	5	5/8	5/8	3/4	1	2	1/8		1/8	1		6	66		35
6	6	0	0	3/4	2	2	1/2		1/2	1		11	53		47
6	6	0	0	3/4	2	1	1/2		1/2	1		7	61		45
6	6	0	0	3/4	1	2	1/2		1/2	1		8	68		43
6	6	0	0	3/4	1	1	1/4		1/4	1		7	73		40
6	6	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		41
6	6	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49		48
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		46
6	6	1/2	1/2	3/4	1	2	1/4		1/4	1		11	65		44
6	6	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		42
7	7	0	0	3/4	2	2	1/4		1/4	1		6	54		55
7	7	0	0	3/4	2	1	1/2		1/2	1		3	57		53
7	7	0	0	3/4	1	2	1/2		1/2	1		6	66		51
7	7	0	0	3/4	1	1	1/2		1/2	1		7	73		49
7	7	1/4	1/4	3/4	2	2	1/4		1/4	1		4	52		56
7	7	1/2	1/2	3/4	2	2	1/4		1/4	1		2	50		57
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		54
7	7	1/2	1/2	3/4	1	2	1/4		1/4	1		8	68		52
7	7	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		50
8	8	0	0	3/4	2	2	1/4		1/4	1		7	49		65
8	8	0	0	3/4	2	1	1/4		1/4	1		4	64		62
8	8	0	0	3/4	1	1	1/4		1/4	1		3	69		58
8	8	0	0	3/4	1	2	1/2		1/2	1		3	69		60
8	8	1/4	1/4	3/4	2	2	1/4		1/4	1		2	50		66
8	8	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		63
8	8	1/4	1/4	3/4	1	1	1/2		1/2	1		5	71		59
8	8	1/2	1/2	3/4	2	2	1/4		1/4	1		4	52		67
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		64
8	8	1/2	1/2	3/4	1	2	1/4		1/4	1		8	68		61
9	9	0	0	3/4	2	2	1/2		1/2	1		3	45		71
9	9	0	0	3/4	2	1	1/2		1/2	1		7	61		70
9	9	0	0	3/4	1	2	1/2		1/2	1		4	64		69
9	9	0	0	3/4	1	1	1/2		1/2	1		3	69		68
10	10	0	1/2	3/4	2	2	1/4		1/4	1		3	45		75
10	10	0	1/2	3/4	2	1	1/4		1/4	1		7	61		74
10	10	0	1/2	3/4	1	2	1/4		1/4	1		4	64		73
10	10	0	1/2	3/4	1	1	1/4		1/4	1		3	69		72
11	11	0	0	3/4	2	2	1/2		1/2	1		2	50		84
11	11	0	0	3/4	2	1	1/2		1/2	1		2	62		82
11	11	0	0	3/4	1	2	1/4		1/4	1		6	66		79
11	11	0	0	3/4	1	1	1/4		1/4	1		3	69		76
11	11	1/4	1/4	3/4	1	2	1/4		1/4	1		8	68		80
11	11	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		77
11	11	1/2	1/2	3/4	2	2	1/4		1/4	1		3	57		85
11	11	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		83
11	11	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69		81
11	11	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		78
12	12	0	0	3/4	2	2	1/4		1/4	1		8	56		94
12	12	0	0	3/4	2	1	1/4		1/4	1		11	65		91
12	12	0	0	3/4	1	2	1/4		1/4	1		5	71		88
12	12	0	0	3/4	1	1	1/2		1/2	1		5	71		86
12	12	1/4	1/4	3/4	2	2	1/4		1/4	1		6	54		95
12	12	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		92
12	12	1/4	1/4	3/4	1	2	1/4		1/4	1		3	69		89
12	12	1/2	1/2	3/4	2	2	1/4		1/4	1		11	53		96
12	12	1/2	1/2	3/4	1	2	1/4		1/4	1		8	68		90
12	12	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		93
12	12	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		87
13	13	0	0	3/4	2	2	1/4		1/4	1		6	54		104
13	13	0	0	3/4	2	1	1/4		1/4	1		7	61		101
13	13	0	0	3/4	1	2	1/2		1/2	1		6	66		99
13	13	0	0	3/4	1	1	1/4		1/4	1		3	69		97
13	13	1/4	1/4	3/4	2	2	1/4		1/4	1		5	47		105
13	13	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		102
13	13	1/4	1/4	3/4	1	1	1/2		1/2	1		8	68		98
13	13	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49		106
13	13	1/2	1/2	3/4	2	1	1/4		1/4	1		7	61		103
13	13	1/2	1/2	3/4	1	2	1/4		1/4	1		11	65		100
14	14	0	0	3/4	2	2	1/2		1/2	1		6	42		113
14	14	0	0	3/4	2	1	1/2		1/2	1		3	57		111
14	14	0	0	3/4	1	2	1/2		1/2	1		7	61		109
14	14	0	0	3/4	1	1	1/2		1/2	1		6	66		107
14	14	1/2	1/2	3/4	2	2	1/4		1/4	1		9	51		114
14	14	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57		112
14	14	1/2	1/2	3/4	1	2	1/4		1/4	1		6	66		110
14	14	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		108
15	15	0	0	3/4	2	2	1/2		1/2	1		4	52		123
15	15	0	0	3/4	2	1	1/4		1/4	1		8	56		120
15	15	0	0	3/4	1	2	1/2		1/2	1		4	64		118
15	15	0	0	3/4	1	1	1/4		1/4	1		5	71		115
15	15	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57		121
15	15	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69		116
15	15	1/2	1/2	3/4	2	2	1/4		1/4	1		2	50		124
15	15	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		122
15	15	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		119
15	15	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68		117
16	16	0	0	3/4	2	2	1/4		1/4	1		7	49		133
16	16	0	0	3/4	2	1	1/2		1/2	1		7	61		130
16	16	0	0	3/4	1	2	1/2		1/2	1		4	64		128
16	16	0	0	3/4	1	1	1/4		1/4	1		3	69		125
16	16	1/4	1/4	3/4	1	1	0	appoggiatura	1/8	1		8	68		126
16	16	1/4	1/4	3/4	2	2	1/4		1/4	1		3	45		134
16	16	1/4	1/4	3/4	1	1	1/2		1/2	1		6	66		127
16	16	1/2	1/2	3/4	2	2	1/4		1/4	1		5	47		135
16	16	1/2	1/2	3/4	2	1	1/8		1/8	1		5	59		131
16	16	1/2	1/2	3/4	1	2	1/4		1/4	1		9	63		129
16	16	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57		132
17	17	0	0	3/4	2	2	1/2		1/2	1		4	52		142
17	17	0	0	3/4	2	1	1/2		1/2	1		8	56		140
17	17	0	0	3/4	1	2	1/2		1/2	1		5	59		138
17	17	0	0	3/4	1	1	1/2		1/2	1		4	64		136
17	17	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49		143
17	17	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56		141
17	17	1/2	1/2	3/4	1	2	1/4		1/4	1		7	61		139
17	17	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64		137
18	18	0	0	3/4	2	2	1/4		1/4	1		6	54		150
18	18	0	0	3/4	2	1	1/2		1/2	1		3	57		148
18	18	0	0	3/4	1	2	1/2		1/2	1		7	61		146
18	18	0	0	3/4	1	1	1/2		1/2	1		3	69		144
18	18	1/4	1/4	3/4	2	2	1/4		1/4	1		4	52		151
18	18	1/2	1/2	3/4	2	2	1/4		1/4	1		6	54		152
18	18	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		149
18	18	1/2	1/2	3/4	1	2	1/4		1/4	1		6	66		147
18	18	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69		145
19	19	0	0	3/4	2	2	1/4		1/4	1		8	56		160
19	19	0	0	3/4	2	1	1/2		1/2	1		5	59		158
19	19	0	0	3/4	1	2	1/4		1/4	1		4	64		155
19	19	0	0	3/4	1	1	1/2		1/2	1		5	71		153
19	19	1/4	1/4	3/4	2	2	1/4		1/4	1		6	54		161
19	19	1/4	1/4	3/4	1	2	1/4		1/4	1		6	66		156
19	19	1/2	1/2	3/4	2	2	1/4		1/4	1		4	52		162
19	19	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		159
19	19	1/2	1/2	3/4	1	2	1/4		1/4	1		8	68		157
19	19	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		154
20	20	0	0	3/4	2	2	1/2		1/2	1		3	57		169
20	20	0	0	3/4	2	1	3/4		1/2	3/2		4	64		168
20	20	0	0	3/4	1	2	1/2		1/2	1		3	69		166
20	20	0	0	3/4	1	1	3/8		1/4	3/2		7	73		163
20	20	3/8	3/8	3/4	1	1	1/8		1/8	1		5	71		164
20	20	1/2	1/2	3/4	2	2	1/4		1/4	1		3	45		170
20	20	1/2	1/2	3/4	1	2	1/4		1/4	1		1	67		167
20	20	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		165
21	21	0	0	3/4	2	2	1/2		1/2	1		2	50		177
21	21	0	0	3/4	2	1	1/2		1/2	1		2	62		175
21	21	0	0	3/4	1	2	1/2		1/2	1		6	66		173
21	21	0	0	3/4	1	1	1/2		1/2	1		3	69		171
21	21	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49		178
21	21	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		176
21	21	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69		172
21	21	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69		174
22	22	0	0	3/4	2	2	1/4		1/4	1		5	47		186
22	22	0	0	3/4	2	1	1/2		1/2	1		6	66		184
22	22	0	0	3/4	1	2	1/2		1/2	1		5	71		181
22	22	0	0	3/4	1	1	1/2		1/2	1		2	74		179
22	22	1/4	1/4	3/4	2	2	1/8		1/8	1		5	59		187
22	22	3/8	3/8	3/4	2	2	1/8		1/8	1		3	57		188
22	22	1/2	1/2	3/4	2	2	1/8		1/8	1		1	55		189
22	22	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		185
22	22	1/2	1/2	3/4	1	2	1/8		1/8	1		5	71		182
22	22	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74		180
22	22	5/8	5/8	3/4	2	2	1/8		1/8	1		6	54		190
22	22	5/8	5/8	3/4	1	2	1/8		1/8	1		3	69		183
23	23	0	0	3/4	2	2	1/8		1/8	1		4	52		203
23	23	0	0	3/4	2	1	1/4		1/4	1		4	64		198
23	23	0	0	3/4	1	2	1/8		1/8	1		1	67		194
23	23	0	0	3/4	1	1	1/4		1/4	1		7	73		191
23	23	1/8	1/8	3/4	2	2	1/8		1/8	1		6	54		204
23	23	1/8	1/8	3/4	1	2	1/8		1/8	1		10	70		195
23	23	1/4	1/4	3/4	2	2	1/4		1/4	1		1	55		205
23	23	1/4	1/4	3/4	2	1	1/8		1/8	1		2	62		199
23	23	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		192
23	23	1/4	1/4	3/4	1	2	1/4		1/4	1		5	71		196
23	23	3/8	3/8	3/4	2	1	1/8		1/8	1		7	61		200
23	23	1/2	1/2	3/4	2	2	1/4		1/4	1		6	54		206
23	23	1/2	1/2	3/4	2	1	1/8		1/8	1		5	59		201
23	23	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		197
23	23	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		193
23	23	5/8	5/8	3/4	2	1	1/8		1/8	1		10	58		202
24	24	0	0	3/4	2	2	1/2		1/2	1		5	47		213
24	24	0	0	3/4	2	1	1/2		1/2	1		5	59		211
24	24	0	0	3/4	1	2	1/2		1/2	1		9	63		209
24	24	0	0	3/4	1	1	1/2		1/2	1		5	71		207
24	24	1/2	1/2	3/4	2	2	1/4		1/4	1		4	52		214
24	24	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56		212
24	24	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		210
24	24	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		208
25	25	0	0	3/4	2	2	1/4		1/4	1		3	57		221
25	25	0	0	3/4	2	1	1/2		1/2	1		3	57		219
25	25	0	0	3/4	1	2	1/2		1/2	1		4	64		217
25	25	0	0	3/4	1	1	1/2		1/2	1		7	73		215
25	25	1/4	1/4	3/4	2	2	1/4		1/4	1		8	56		222
25	25	1/2	1/2	3/4	2	2	1/4		1/4	1		6	54		223
25	25	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57		220
25	25	1/2	1/2	3/4	1	2	1/4		1/4	1		6	66		218
25	25	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		216
26	26	0	0	3/4	2	2	1/4		1/4	1		5	59		230
26	26	0	0	3/4	2	1	1/2		1/2	1		5	59		228
26	26	0	0	3/4	1	2	1/2		1/2	1		6	66		226
26	26	0	0	3/4	1	1	1/2		1/2	1		2	74		224
26	26	1/4	1/4	3/4	2	2	1/4		1/4	1		3	57		231
26	26	1/2	1/2	3/4	2	2	1/4		1/4	1		1	55		232
26	26	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		229
26	26	1/2	1/2	3/4	1	2	1/4		1/4	1		1	67		227
26	26	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74		225
27	27	0	0	3/4	2	2	3/4		1/2	3/2		7	49		240
27	27	0	0	3/4	2	1	1/4		1/4	1		5	59		237
27	27	0	0	3/4	1	2	1/4		1/4	1		1	67		234
27	27	0	0	3/4	1	1	3/4		1/2	3/2		4	76		233
27	27	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57		238
27	27	1/4	1/4	3/4	1	2	1/4		1/4	1		6	66		235
27	27	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		239
27	27	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		236
28	28	0	0	3/4	2	2	1/2		1/2	1		2	50		247
28	28	0	0	3/4	2	1	1/2		1/2	1		6	54		245
28	28	0	0	3/4	1	2	1/2		1/2	1		2	62		243
28	28	0	0	3/4	1	1	1/2		1/2	1		3	69		241
