mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	3/4	4/4	2	2	1/8	1/8	1		2	62	3
1	1	0	3/4	4/4	2	1	1/4	1/4	1		6	66	2
1	1	0	3/4	4/4	1	2	1/4	1/4	1		3	69	1
1	1	0	3/4	4/4	1	1	1/4	1/4	1		2	74	0
1	1	1/8	7/8	4/4	2	2	1/8	1/8	1		7	61	4
2	2	0	0	4/4	2	2	1/4	1/4	1		5	59	20
2	2	0	0	4/4	1	2	1/4	1/4	1		2	62	10
2	2	0	0	4/4	2	1	1/4	1/4	1		6	66	15
2	2	0	0	4/4	1	1	1/4	1/4	1		2	74	5
2	2	1/4	1/4	4/4	2	2	1/8	1/8	1		3	57	21
2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	16
2	2	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	11
2	2	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	6
2	2	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	22
2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	17
2	2	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	12
2	2	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	23
2	2	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	18
2	2	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	13
2	2	1/2	1/2	4/4	1	1	1/8	1/8	1		3	69	7
2	2	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	8
2	2	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	24
2	2	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	19
2	2	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	14
2	2	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	9
3	3	0	0	4/4	2	2	1/4	1/4	1		2	50	40
3	3	0	0	4/4	2	1	3/8	1/4	3/2		6	66	34
3	3	0	0	4/4	1	2	1/4	1/4	1		3	69	30
3	3	0	0	4/4	1	1	1/8	1/8	1		2	74	25
