mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	2	2	1/8	1/8	1		1	55	14
1	1	0	0	4/4	2	1	1/4	1/4	1		2	62	9
1	1	0	0	4/4	1	2	1/4	1/4	1		1	67	4
1	1	0	0	4/4	1	1	1/4	1/4	1		5	71	0
1	1	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	15
1	1	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	16
1	1	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	10
1	1	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	5
1	1	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	1
1	1	3/8	3/8	4/4	2	2	1/8	1/8	1		9	51	17
1	1	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66	11
1	1	3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	6
1	1	1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	18
1	1	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	12
1	1	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	7
1	1	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	2
1	1	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	19
1	1	3/4	3/4	4/4	2	2	1/8	1/8	1		0	48	20
1	1	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	13
1	1	3/4	3/4	4/4	1	2	1/4	1/4	1	1	1	67	8
1	1	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	3
1	1	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	21
2	2	0	0	4/4	2	2	1/4	1/4	1		3	45	35
2	2	0	0	4/4	2	1	1/8	1/8	1		4	64	30
2	2	0	0	4/4	1	2	1/8	1/8	1	-1	1	67	25
2	2	0	0	4/4	1	1	1/4	1/4	1		0	72	22
2	2	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	31
2	2	1/8	1/8	4/4	1	2	1/16	1/16	1		6	66	26
2	2	3/16	3/16	4/4	1	2	1/16	1/16	1		4	64	27
2	2	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	36
2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	32
2	2	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	28
2	2	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	23
2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	33
2	2	1/2	1/2	4/4	2	2	1/2	1/2	1		1	43	37
2	2	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	34
2	2	1/2	1/2	4/4	1	2	1/2	1/2	1		1	67	29
2	2	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	24
3	3	0	0	4/4	2	2	1/8	1/8	1		1	43	51
3	3	0	0	4/4	2	1	1/4	1/4	1		2	62	47
3	3	0	0	4/4	1	2	1/4	1/4	1		1	67	42
3	3	0	0	4/4	1	1	1/4	1/4	1		5	71	38
3	3	1/8	1/8	4/4	2	2	1/8	1/8	1		3	45	52
3	3	1/4	1/4	4/4	2	2	1/8	1/8	1		5	47	53
3	3	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	48
3	3	1/4	1/4	4/4	1	2	1/4	1/4	1	1	1	67	43
3	3	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	39
3	3	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	54
3	3	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	55
3	3	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	49
3	3	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	1	67	44
3	3	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	40
3	3	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	45
3	3	3/4	3/4	4/4	2	2	1/4	1/4	1	1	1	55	56
3	3	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	50
3	3	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	46
3	3	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	41
4	4	0	0	4/4	2	2	1/8	1/8	1	-1	1	55	74
4	4	0	0	4/4	2	1	1/8	1/8	1		4	64	67
4	4	0	0	4/4	1	2	1/4	1/4	1	1	3	69	60
4	4	0	0	4/4	1	1	1/4	1/4	1		0	72	57
4	4	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	75
4	4	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	68
4	4	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	76
4	4	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	69
4	4	1/4	1/4	4/4	1	2	1/8	1/8	1	-1	3	69	61
4	4	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	58
4	4	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	77
4	4	3/8	3/8	4/4	1	2	1/8	1/8	1	1	1	67	62
4	4	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	78
4	4	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	70
4	4	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	1	67	63
4	4	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	59
4	4	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	71
4	4	5/8	5/8	4/4	1	2	1/16	1/16	1		6	66	64
4	4	11/16	11/16	4/4	1	2	1/16	1/16	1		4	64	65
4	4	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	79
4	4	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	72
4	4	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	66
4	4	7/8	7/8	4/4	2	1	1/8	1/8	1		0	60	73
5	5	0	0	4/4	2	2	1	1	1		1	43	83
5	5	0	0	4/4	2	1	1	1	1		5	59	82
5	5	0	0	4/4	1	2	1	1	1		2	62	81
5	5	0	0	4/4	1	1	1	1	1		1	67	80
6	6	0	0	4/4	2	2	1/8	1/8	1		1	43	96
6	6	0	0	4/4	2	1	1/4	1/4	1		2	62	92
6	6	0	0	4/4	1	2	1/4	1/4	1		1	67	88
6	6	0	0	4/4	1	1	1/4	1/4	1		5	71	84
6	6	1/8	1/8	4/4	2	2	1/8	1/8	1		3	45	97
6	6	1/4	1/4	4/4	2	2	1/8	1/8	1		5	47	98
6	6	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	93
6	6	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	89
6	6	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	85
6	6	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	99
6	6	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	100
6	6	1/2	1/2	4/4	2	1	3/8	1/4	3/2		2	62	94
6	6	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	90
6	6	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	86
6	6	5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	101
6	6	3/4	3/4	4/4	2	2	1/8	1/8	1		6	54	102
6	6	3/4	3/4	4/4	1	2	1/4	1/4	1	1	6	66	91
6	6	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	87
6	6	7/8	7/8	4/4	2	2	1/8	1/8	1		9	51	103
6	6	7/8	7/8	4/4	2	1	1/8	1/8	1		0	60	95
7	7	0	0	4/4	2	2	1/8	1/8	1		4	52	113
7	7	0	0	4/4	2	1	1/4	1/4	1		5	59	110
7	7	0	0	4/4	1	2	1/4	1/4	1	-1	6	66	107
7	7	0	0	4/4	1	1	1/4	1/4	1		1	67	104
7	7	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	114
7	7	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	115
7	7	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	111
7	7	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	108
7	7	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	105
7	7	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	116
7	7	1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	112
7	7	1/2	1/2	4/4	2	2	1/2	1/2	1		5	59	117
7	7	1/2	1/2	4/4	1	2	1/2	1/2	1		9	63	109
7	7	1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	106
8	8	0	0	4/4	2	2	1/8	1/8	1		0	48	133
8	8	0	0	4/4	1	2	1/8	1/8	1		4	64	122
8	8	0	0	4/4	2	1	1/8	1/8	1		1	67	127
8	8	0	0	4/4	1	1	1/4	1/4	1		4	76	118
8	8	1/8	1/8	4/4	2	2	1/4	1/4	1		0	60	134
8	8	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	123
8	8	1/8	1/8	4/4	2	1	1/8	1/8	1		3	69	128
8	8	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	129
8	8	1/4	1/4	4/4	1	2	3/8	1/4	3/2		1	67	124
8	8	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	119
8	8	3/8	3/8	4/4	2	2	1/8	1/8	1		5	59	135
8	8	1/2	1/2	4/4	2	2	1/8	1/8	1		3	45	136
8	8	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	130
8	8	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	120
8	8	5/8	5/8	4/4	2	2	1/4	1/4	1		3	57	137
8	8	5/8	5/8	4/4	2	1	1/8	1/8	1		0	60	131
8	8	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	125
8	8	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	132
8	8	3/4	3/4	4/4	1	2	1/4	1/4	1	1	1	67	126
8	8	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	121
8	8	7/8	7/8	4/4	2	2	1/8	1/8	1		1	55	138
9	9	0	0	4/4	2	2	1/4	1/4	1		0	48	152
9	9	0	0	4/4	2	1	1/8	1/8	1		4	64	147
9	9	0	0	4/4	1	2	1/8	1/8	1	-1	1	67	142
9	9	0	0	4/4	1	1	1/4	1/4	1		3	69	139
9	9	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	148
9	9	1/8	1/8	4/4	1	2	1/16	1/16	1		6	66	143
9	9	3/16	3/16	4/4	1	2	1/16	1/16	1		4	64	144
9	9	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	153
9	9	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	149
9	9	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	145
9	9	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	140
9	9	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	150
9	9	1/2	1/2	4/4	2	2	1/2	1/2	1		1	43	154
9	9	1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	151
9	9	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	146
9	9	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	141
