mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	2	2	1/4	1/4	1		4	52	9
1	1	0	0	3/4	2	1	1/4	1/4	1		1	55	6
1	1	0	0	3/4	1	2	1/4	1/4	1		5	59	3
1	1	0	0	3/4	1	1	1/4	1/4	1		4	64	0
1	1	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	7
1	1	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	10
1	1	1/4	1/4	3/4	1	2	1/4	1/4	1		5	59	4
1	1	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64	1
1	1	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	11
1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	8
1	1	1/2	1/2	3/4	1	2	1/4	1/4	1		5	59	5
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	2
2	2	0	0	3/4	2	2	1/4	1/4	1		9	51	19
2	2	0	0	3/4	2	1	1/4	1/4	1		6	54	16
2	2	0	0	3/4	1	2	1/2	1/2	1		6	66	14
2	2	0	0	3/4	1	1	1/2	1/2	1		5	71	12
2	2	1/4	1/4	3/4	2	2	1/4	1/4	1		5	47	20
2	2	1/4	1/4	3/4	2	1	1/4	1/4	1		9	63	17
2	2	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	21
2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	18
2	2	1/2	1/2	3/4	1	2	1/4	1/4	1	1	1	67	15
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	13
3	3	0	0	3/4	2	2	1/4	1/4	1		7	49	32
3	3	0	0	3/4	2	1	1/4	1/4	1		4	64	29
3	3	0	0	3/4	1	2	1/4	1/4	1	-1	1	67	26
3	3	0	0	3/4	1	1	1/4	1/4	1		3	69	22
3	3	1/4	1/4	3/4	2	2	1/4	1/4	1		9	51	33
3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	30
3	3	1/4	1/4	3/4	1	2	1/4	1/4	1		6	66	27
3	3	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	23
3	3	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	34
3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	31
3	3	1/2	1/2	3/4	1	2	1/4	1/4	1		4	64	28
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1		1	67	24
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	25
4	4	0	0	3/4	2	2	1/4	1/4	1		2	50	48
