mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	3/4	4/4	2	2	1/4	1/4	1		4	52	4
1	1	0	3/4	4/4	2	1	1/8	1/8	1		4	64	2
1	1	0	3/4	4/4	1	2	1/4	1/4	1		1	67	1
1	1	0	3/4	4/4	1	1	1/4	1/4	1		5	71	0
1	1	1/8	7/8	4/4	2	1	1/8	1/8	1		2	62	3
2	2	0	0	4/4	2	2	1/8	1/8	1		6	54	20
2	2	0	0	4/4	2	1	1/4	1/4	1		7	61	15
2	2	0	0	4/4	1	2	1/4	1/4	1		6	66	10
2	2	0	0	4/4	1	1	1/4	1/4	1		-2	70	5
2	2	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	21
2	2	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	22
2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	16
2	2	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	11
2	2	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	6
2	2	3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	23
2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	17
2	2	3/8	3/8	4/4	1	2	1/8	1/8	1		-2	70	12
2	2	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73	7
2	2	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	24
2	2	1/2	1/2	4/4	2	1	1/4	1/4	1		6	66	18
2	2	1/2	1/2	4/4	1	2	1/4	1/4	1		5	71	13
2	2	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	8
2	2	3/4	3/4	4/4	2	2	1/4	1/4	1		-2	46	25
2	2	3/4	3/4	4/4	2	1	1/4	1/4	1		6	66	19
2	2	3/4	3/4	4/4	1	2	1/4	1/4	1		7	73	14
2	2	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	9
3	3	0	0	4/4	2	2	1/4	1/4	1		5	47	39
3	3	0	0	4/4	2	1	1/4	1/4	1	1	6	66	34
3	3	0	0	4/4	1	2	1/4	1/4	1		5	71	30
3	3	0	0	4/4	1	1	1/4	1/4	1		2	74	26
3	3	1/4	1/4	4/4	2	2	1/4	1/4	1		6	42	40
3	3	1/4	1/4	4/4	2	1	1/8	1/8	1	-1	6	66	35
3	3	1/4	1/4	4/4	1	2	1/4	1/4	1		-2	70	31
3	3	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	27
3	3	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	36
3	3	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	41
