mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	3/4	4/4	2	2	1/4	1/4	1		11	53		3
1	1	0	3/4	4/4	2	1	1/4	1/4	1		7	61		2
1	1	0	3/4	4/4	1	2	1/4	1/4	1		8	68		1
1	1	0	3/4	4/4	1	1	1/4	1/4	1		7	73		0
2	2	0	0	4/4	2	2	1/4	1/4	1		6	54		17
2	2	0	0	4/4	2	1	1/4	1/4	1		7	61		13
2	2	0	0	4/4	1	2	1/4	1/4	1		6	66		9
2	2	0	0	4/4	1	1	1/4	1/4	1		3	69		4
2	2	1/4	1/4	4/4	2	2	1/4	1/4	1		8	56		18
2	2	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59		14
2	2	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64		10
2	2	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71		5
2	2	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57		15
2	2	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57		19
2	2	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64		11
2	2	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73		6
2	2	5/8	5/8	4/4	1	1	1/8	1/8	1		2	74		7
2	2	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49		20
2	2	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57		16
2	2	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64		12
2	2	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76		8
3	3	0	0	4/4	2	2	1/4	1/4	1		5	47		33
3	3	0	0	4/4	2	1	1/4	1/4	1		3	57		29
3	3	0	0	4/4	1	2	1/4	1/4	1		6	66		25
3	3	0	0	4/4	1	1	1/2	1/2	1		2	74		21
3	3	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52		34
3	3	1/4	1/4	4/4	2	1	1/4	1/4	1		8	56		30
3	3	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64		26
3	3	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45		35
3	3	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57		31
3	3	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64		27
3	3	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73		22
3	3	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57		36
3	3	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64		32
3	3	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69		28
3	3	3/4	3/4	4/4	1	1	1/8	1/8	1		7	73		23
3	3	7/8	7/8	4/4	1	1	1/8	1/8	1		2	74		24
4	4	0	0	4/4	2	2	1/4	1/4	1		7	49		52
4	4	0	0	4/4	2	1	1/4	1/4	1		4	64		48
4	4	0	0	4/4	1	2	1/8	1/8	1		3	69		41
4	4	0	0	4/4	1	1	1/4	1/4	1		4	76		37
4	4	1/8	1/8	4/4	1	2	1/8	1/8	1		8	68		42
4	4	1/4	1/4	4/4	2	2	1/8	1/8	1		7	49		53
4	4	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64		49
4	4	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69		43
4	4	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76		38
4	4	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50		54
4	4	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52		55
4	4	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64		50
4	4	1/2	1/2	4/4	1	2	1/8	1/8	1		8	68		44
4	4	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71		39
4	4	5/8	5/8	4/4	1	2	1/8	1/8	1	1	6	66		45
4	4	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49		56
4	4	3/4	3/4	4/4	2	1	1/4	1/4	1		8	56		51
4	4	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	6	66		46
4	4	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73		40
4	4	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64		47
5	5	0	0	4/4	2	1	1/8	1/8	1		6	54		65
5	5	0	0	4/4	2	2	1/2	1/2	1		6	54		70
5	5	0	0	4/4	1	2	1/4	1/4	1		4	64		60
5	5	0	0	4/4	1	1	1/2	1/2	1		3	69		57
5	5	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		66
5	5	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57		67
5	5	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63		61
5	5	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52		71
5	5	1/2	1/2	4/4	2	1	1/4	1/4	1		8	56		68
5	5	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64		62
5	5	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71		58
5	5	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52		72
5	5	3/4	3/4	4/4	2	1	1/4	1/4	1		8	56		69
5	5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64		63
5	5	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64		59
5	5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62		64
6	6	0	0	4/4	2	2	1/4	1/4	1		6	54		88
6	6	0	0	4/4	1	2	1/4	1/4	1		7	61		80
6	6	0	0	4/4	2	1	1/4	1/4	1		7	61		84
6	6	0	0	4/4	1	1	1/4	1/4	1		3	69		73
6	6	1/4	1/4	4/4	2	2	1/4	1/4	1		8	56		89
6	6	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59		85
6	6	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64		81
6	6	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71		74
6	6	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57		86
6	6	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57		90
6	6	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64		82
6	6	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73		75
6	6	5/8	5/8	4/4	1	1	1/16	1/16	1		2	74		76
6	6	11/16	11/16	4/4	1	1	1/16	1/16	1		4	76		77
6	6	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50		91
6	6	3/4	3/4	4/4	2	1	1/4	1/4	1		6	66		87
6	6	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69		83
6	6	3/4	3/4	4/4	1	1	1/8	1/8	1		2	74		78
6	6	7/8	7/8	4/4	1	1	1/8	1/8	1		7	73		79
7	7	0	0	4/4	2	2	3/4	1/2	3/2		4	52		98
7	7	0	0	4/4	2	1	3/4	1/2	3/2		5	59		96
7	7	0	0	4/4	1	2	3/4	1/2	3/2		8	68		94
7	7	0	0	4/4	1	1	3/4	1/2	3/2		5	71		92
7	7	3/4	3/4	4/4	2	2	1/4	1/4	1		11	53		99
7	7	3/4	3/4	4/4	2	1	1/4	1/4	1		8	56		97
7	7	3/4	3/4	4/4	1	2	1/4	1/4	1	1	8	68		95
7	7	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73		93
8	8	0	0	4/4	2	2	1/4	1/4	1		6	54		115
8	8	0	0	4/4	2	1	1/4	1/4	1		7	61		110
8	8	0	0	4/4	1	2	1/8	1/8	1	-1	8	68		105
8	8	0	0	4/4	1	1	1/4	1/4	1		3	69		100
8	8	1/8	1/8	4/4	1	2	1/4	1/4	1		6	66		106
8	8	1/4	1/4	4/4	2	2	1/4	1/4	1		8	56		116
8	8	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59		111
8	8	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71		101
8	8	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64		107
8	8	1/2	1/2	4/4	2	1	1/8	1/8	1		3	57		112
8	8	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57		117
8	8	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64		108
8	8	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73		102
8	8	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		113
8	8	5/8	5/8	4/4	1	1	1/8	1/8	1		2	74		103
8	8	3/4	3/4	4/4	2	2	1/4	1/4	1		10	58		118
8	8	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61		114
8	8	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66		109
8	8	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76		104
9	9	0	0	4/4	2	2	1/2	1/2	1		5	59		130
9	9	0	0	4/4	2	1	1/4	1/4	1		7	61		126
